epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,10508.9,0.27137,0.38944,0.87285,0.99111,0.97898,0.99339,0.99026,0.13457,0.12399,0.77332,0.0087922,0.0087922,0.0087922
124,10594.1,0.26894,0.38263,0.87124,0.99271,0.9766,0.99357,0.99071,0.13409,0.12291,0.77298,0.0087823,0.0087823,0.0087823
125,10679.3,0.2677,0.37301,0.87128,0.99153,0.97678,0.99407,0.99054,0.13491,0.1224,0.77326,0.0087724,0.0087724,0.0087724
126,10763.8,0.26852,0.38737,0.86772,0.99185,0.97707,0.99379,0.99092,0.13408,0.12372,0.77283,0.0087625,0.0087625,0.0087625
127,10849.5,0.2723,0.39378,0.87244,0.99109,0.98013,0.99355,0.9905,0.13306,0.12177,0.77269,0.0087526,0.0087526,0.0087526
128,10934.5,0.26868,0.38077,0.86854,0.99147,0.98132,0.99392,0.99112,0.1347,0.1215,0.77322,0.0087427,0.0087427,0.0087427
129,11019.5,0.2711,0.38866,0.87438,0.99048,0.98234,0.99404,0.99113,0.13224,0.12,0.77222,0.0087328,0.0087328,0.0087328
130,11104.7,0.27074,0.38681,0.87671,0.98958,0.98295,0.99407,0.9918,0.13012,0.11876,0.77155,0.0087229,0.0087229,0.0087229
131,11189.7,0.26843,0.38354,0.87121,0.99312,0.98012,0.9943,0.99136,0.13082,0.11739,0.77192,0.008713,0.008713,0.008713
132,11246.7,0.26674,0.37525,0.8696,0.98946,0.98419,0.9941,0.99133,0.1291,0.11827,0.77203,0.0087031,0.0087031,0.0087031
133,11332,0.26542,0.37789,0.86931,0.98995,0.98422,0.99413,0.99111,0.13225,0.11762,0.77178,0.0086932,0.0086932,0.0086932
134,11417.7,0.2653,0.37687,0.86996,0.98836,0.98472,0.99417,0.99142,0.13187,0.11654,0.77138,0.0086833,0.0086833,0.0086833
135,11503.2,0.26053,0.3673,0.86562,0.98902,0.9838,0.9941,0.99154,0.13066,0.11722,0.77151,0.0086734,0.0086734,0.0086734
136,11587.8,0.26249,0.3705,0.86788,0.99276,0.97893,0.99419,0.99184,0.1282,0.11561,0.77068,0.0086635,0.0086635,0.0086635
137,11672.9,0.26406,0.36851,0.86815,0.9915,0.9799,0.99409,0.99199,0.1327,0.11901,0.7712,0.0086536,0.0086536,0.0086536
138,11758.6,0.26521,0.37933,0.8703,0.99077,0.97958,0.99416,0.9918,0.13089,0.11912,0.77074,0.0086437,0.0086437,0.0086437
139,11843.6,0.26298,0.38024,0.87328,0.98933,0.9821,0.99388,0.99151,0.12852,0.11618,0.77041,0.0086338,0.0086338,0.0086338
140,11928.5,0.26102,0.36448,0.865,0.99182,0.98048,0.99369,0.9917,0.12751,0.11565,0.76994,0.0086239,0.0086239,0.0086239
141,12013.3,0.26476,0.37549,0.86734,0.99157,0.97884,0.99371,0.99193,0.12798,0.11607,0.76982,0.008614,0.008614,0.008614
142,12098.3,0.26461,0.37346,0.87104,0.99224,0.97983,0.99401,0.99182,0.128,0.11596,0.76994,0.0086041,0.0086041,0.0086041
143,12182.7,0.2665,0.37919,0.87279,0.98898,0.98475,0.99399,0.99146,0.12872,0.11592,0.7704,0.0085942,0.0085942,0.0085942
144,12266.3,0.25824,0.36585,0.86376,0.98992,0.98196,0.99395,0.9917,0.12963,0.11433,0.77041,0.0085843,0.0085843,0.0085843
145,12350.8,0.26164,0.36959,0.86638,0.99306,0.98163,0.99419,0.99154,0.13077,0.1133,0.77094,0.0085744,0.0085744,0.0085744
146,12435.3,0.25998,0.36596,0.86419,0.99227,0.98218,0.99397,0.99143,0.12856,0.11488,0.77051,0.0085645,0.0085645,0.0085645
